BarCode_No,Schedule_Date,Time,WH,DB_Type,Destination,SLCARS,Expedition_Name,Fleet_Type,Fleet_CBM
150209001,2/9/2015,11:00:00,JABABEKA 5,LUKOT,SURABAYA,4445,DEXTRAN,WINGS BOX,45
150209002,2/9/2015,13:00:00,JABABEKA 5,LUKOT,SURABAYA,4445,DEXTRAN,WINGS BOX,45
150209003,2/9/2015,13:00:00,JABABEKA 5,LUKOT,SURABAYA,4445,DEXTRAN,WINGS BOX,45
150209004,2/9/2015,15:00:00,JABABEKA 5,LUKOT,SURABAYA,4445,DEXTRAN,WINGS BOX,45
150209005,2/9/2015,15:00:00,JABABEKA 5,LUKOT,SURABAYA,4445,DEXTRAN,WINGS BOX,45
150209011,2/9/2015,12:30:00,JABABEKA 5,DALKOT,"BEKASI - LIMAX KALEBORAH MARIFAT, PT",5117,"TOTAL LOGISTICS INDONESIA,PT",CDD,16.74
150209013,2/9/2015,12:30:00,JABABEKA 5,DALKOT,"CIBUBUR - SAGITA YORI KENCANA, PT",4642,"MITRA TOTAL PERSADA, PT",CDD,16.74
150209015,2/9/2015,12:30:00,JABABEKA 5,DALKOT,"KARAWANG - MITRA SATYA ANUGRAH, PT",4642,"MITRA TOTAL PERSADA, PT",CDD,16.74
150209016,2/9/2015,12:30:00,JABABEKA 5,DALKOT,"KARAWANG - MITRA SATYA ANUGRAH, PT",4642,"MITRA TOTAL PERSADA, PT",CDD,16.74
150209017,2/9/2015,12:30:00,Murinda+JBK5,DALKOT,"KARAWANG - MITRA SATYA ANUGRAH, PT",4642,"MITRA TOTAL PERSADA, PT",CDD,16.74
150209019,2/9/2015,14:30:00,JABABEKA 5,LUKOT,"BANDUNG - FAJAR PUNCAK PRATAMA, PT",4642,"MITRA TOTAL PERSADA, PT",FUSO,39
150209022,2/9/2015,14:00:00,JBK5+Murinda,LUKOT,MEDAN,4642,"MITRA TOTAL PERSADA, PT",FUSO,39
150209023,2/9/2015,14:00:00,JABABEKA 5,LUKOT,"KUDUS - TIARA KINARYA SAKTI, PT",4642,"MITRA TOTAL PERSADA, PT",CDD,16.74
150209026,2/9/2015,14:00:00,JABABEKA 5,LUKOT,"SEMARANG - INDRAKINARYA MUGISANTOSA, PT",4642,"MITRA TOTAL PERSADA, PT",CDD,16.74
150209027,2/9/2015,14:00:00,JABABEKA 5,LUKOT,"SEMARANG - INDRAKINARYA MUGISANTOSA, PT",4642,"MITRA TOTAL PERSADA, PT",CDD,16.74
150209029,2/9/2015,14:00:00,JABABEKA 5,LUKOT,"SLEMAN - INDOVIMA SENTOSA MANDIRI, PT",4642,"MITRA TOTAL PERSADA, PT",CDD,16.74
150209030,2/9/2015,14:00:00,JABABEKA 5,LUKOT,"SLEMAN - INDOVIMA SENTOSA MANDIRI, PT",4642,"MITRA TOTAL PERSADA, PT",CDD,16.74
150209033,2/9/2015,16:30:00,JABABEKA 5,LUKOT,"SOLO - BUMI MANUNGGAL KHARISMA, PT",4642,"MITRA TOTAL PERSADA, PT",CDD,16.74
150209037,2/9/2015,0:00:00,JABABEKA 5,DALKOT,"PASAR MINGGU - ALIF ROSE, PT",2972,TUPPERWARE,CDD,16.74
150209038,2/9/2015,14:20:00,JABABEKA 5,DALKOT,HO,2972,TUPPERWARE,CDD,16.74
150209039,2/9/2015,14:32:00,JABABEKA 5,DALKOT,"CIKARANG - INDRAPURI MITRA CIKARANG, PT",2972,TUPPERWARE,CDD,16.74
150209041,2/9/2015,16:00:00,JABABEKA 5,DALKOT,PT.GAMMA PLAST,,,FUSO,39
