"BarCode_No","Schedule_Date","Time","WH","DB_Type","Destination","SLCARS","Expedition_Name","Fleet_Type","Fleet_CBM"
"140519001","05/19/2014","09:00:00","JBK5+Murinda","DALKOT","Bekasi - LIMAX KALEBORAH MARIFAT, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140519002","05/19/2014","09:00:00","JBK5+Murinda","DALKOT","Bekasi - MAHARDIKA ARTHA FORTUNA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140519003","05/19/2014","09:00:00","Murinda+JBK5","DALKOT","Bogor - MANDALARAYA PILAR SAKTI, PT",4445,"DEXTRAN","CDD",17.74
"140519004","05/19/2014","09:00:00","JBK5+Murinda","DALKOT","Bogor - MANUNGGAL RAYA TIMUR PERKASA, PT",4445,"DEXTRAN","CDD",17.74
"140519005","05/19/2014","09:00:00","JABABEKA 5","DALKOT","Cibubur - SAGITA YORI KENCANA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140519006","05/19/2014","09:00:00","JABABEKA 5","DALKOT","Cikarang - INDRAPURI MITRA CIKARANG, PT",4445,"DEXTRAN","CDD",17.74
"140519007","05/19/2014","09:00:00","JABABEKA 5","DALKOT","Cipinang - ARLIA HARAPAN KENCANA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140519008","05/19/2014","09:00:00","Murinda+JBK5","LUKOT","Banten - BANTEN ANUGRAH ABADI, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140519011","05/19/2014","11:00:00","JBK5+Murinda","LUKOT","KALYANA SMG-INDRAKINARYA",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140519012","05/19/2014","11:00:00","Murinda+JBK5","LUKOT","KALYANA KLATEN+ BMK",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140519013","05/19/2014","11:00:00","JABABEKA 5","LUKOT","Semarang - INDRAKINARYA MUGISANTOSA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140519014","05/19/2014","11:00:00","JABABEKA 5","LUKOT","Kudus - TIARA KINARYA SAKTI, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140519016","05/19/2014","11:00:00","JABABEKA 5","LUKOT","Sleman - INDOVIMA SENTOSA MANDIRI, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140519017","05/19/2014","11:00:00","JABABEKA 5","LUKOT","Magelang - DEWISRI PRATHAMA MUKHYASA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140519018","05/19/2014","11:00:00","JBK5+Murinda","LUKOT","Magelang - DEWISRI PRATHAMA MUKHYASA, PT",4642,"MITRA TOTAL PERSADA, PT","CDD",17.74
"140519030","05/19/2014","11:00:00","JABABEKA 5","LUKOT","LANSIRAN DARI JB5 KE MURINDA",4642,"MITRA TOTAL PERSADA, PT","WINGS BOX",45.00
"140519031","05/19/2014","13:00:00","JABABEKA 5","LUKOT","LANSIRAN DARI JB5 KE MURINDA",4642,"MITRA TOTAL PERSADA, PT","WINGS BOX",45.00
"140519029","05/19/2014","09:00:00","JABABEKA 5","LUKOT","LANSIRAN DARI JB5 KE MURINDA",4642,"MITRA TOTAL PERSADA, PT","WINGS BOX",45.00
"140519032","05/19/2014","09:00:00","SURABAYA","DALKOT","VINIVICI",1954,"SAPTA PRIMA PERKASA, PT","CDD",17.74
"140519033","05/19/2014","09:00:00","SURABAYA","DALKOT","ALAMANDA",1954,"SAPTA PRIMA PERKASA, PT","CDD",17.74
"140519034","05/19/2014","09:00:00","JABABEKA 5","DALKOT","Cipinang - ARLIA HARAPAN KENCANA, PT",2972,"TUPPERWARE","CDD",17.74
"140519035","05/19/2014","09:00:00","JABABEKA 5","DALKOT","Karawang - MITRA SATYA ANUGRAH, PT",2972,"TUPPERWARE","CDD",17.74
"140519036","05/19/2014","09:00:00","JABABEKA 5","DALKOT","Karawang - MITRA SATYA ANUGRAH, PT",2972,"TUPPERWARE","CDD",17.74
