B 9251PDB,C028426
B 9743PDB,C028435
B 9875PDA,L142030
B 9602PDB,C028565
B 9878PDA,F011296
B 9670IL,A154517
B 9740PDB,U032744
B 9750PDB,C028761
B 9248PDB,L142487
B 9738PDB,U032765
B 9604PDB,L142486
B 9812GJ,F011357
T 8318DA,L131315
T 8215DE,L142509
B 9617PDB,L131360
B 9828PDB,L131362
B 9739PDB,L142505
B 9253PDB,L131406
B 9152SYL,F011391
B 9159SYL,L142517
B 9254PDB,A154598
H 1769BF,A154614
T 8872DC,A154609
B 9879PDA,A154610
B 9980XU,A154619
B 9980XU,A154620
B 9615PDB,U032831
B 9829PDB,I000758
B 9198XT,A154634
B 9825PDB,C028813
T 8022DF,C028814
B 9198XT,C028815
B 9827PDB,U032855
B 9599PDB,U032857
B 9603PDB,F011411
B 9603PDB,F011412
B 9822PDB,C028819
B 9163SYL,L131526
B 9670IL,A154646
B 9613PDB,C028852
B 9604PDB,C028853
B 9880PDA,F011417
B 9880PDA,F011418
B 9600PDB,A154657
B 9741PDB,B088305
B 9880PDA,L142576
B 9830PDB,L142577
B 9830PDB,L142578

















