kend-num,co-num
B 9152SYL,L131878
B 9155SYL,C029098
B 9156SYL,L142883
B 9159SYL,F011641
B 9160SYL,L131885
B 9160SYL,F011493
B 9198XT,L142855
B 9217PL,L142859
B 9217PL,L142834
B 9251PDB,L142778
B 9253PDB,L142898
B 9316IL,L131871
B 9329IL,L142877
B 9333IL,C029091
B 9602PDB,L142856
B 9603PDB,L131897
B 9603PDB,L142868
B 9605PDB,L142896
B 9607PDB,F011659
B 9611PDB,C029094
B 9613PDB,L142726
B 9614PDB,A155111
B 9615PDB,F011650
B 9616PDB,F011611
B 9616PDB,U033209
B 9616PDB,F011631
B 9617PDB,L142881
B 9618PDB,F011488
B 9738PDB,F011644
B 9738PDB,F011645
B 9739PDB,C029100
B 9742PDB,L131859
B 9743PDB,L142873
B 9750PDB,L142897
B 9812GJ,L142899
B 9823PDB,L142870
B 9825PDB,U032927
B 9829PDB,L142882
B 9831PDB,B088394
B 9875PDA,L142895
B 9877PDA,A155108
B 9877PDA,L142858
B 9878PDA,L131876
B 9881PDA,F011649
B 9881PDA,F011648
B 9883PDA,A155019
B 9884PDA,L142903
B 9884PDA,L142901
B 9885PDA,L142900
B 9978XU,A155078
B 9978XU,A155106
B 9980XU,A155079
B 9980XU,A155083
B 9984XU,A155107
B 9984XU,A155113
B 9984XU,A155117
B 9984XU,A155120








